,Financial Services,Diversified,Capital Goods,Construction Materials,Healthcare,Chemicals,Information Technology,Power,Metals & Mining,Services,Oil Gas & Consumable Fuels,Fast Moving Consumer Goods,Consumer Services,Construction,Textiles,Automobile and Auto Components,Consumer Durables,Realty,Telecommunication,Forest Materials,Media Entertainment & Publication,Utilities
73,MOTILALOFS,,PRINCEPIPE,,,,,,,,,,,,,,,,,,,
74,MCX,,RHIM,,,,,,,,,,,,,,,,,,,
75,MUTHOOTFIN,,RKFORGE,,,,,,,,,,,,,,,,,,,
76,NAM-INDIA,,RATNAMANI,,,,,,,,,,,,,,,,,,,
77,PAYTM,,SKFINDIA,,,,,,,,,,,,,,,,,,,
78,POLICYBZR,,SCHNEIDER,,,,,,,,,,,,,,,,,,,
79,PNBHOUSING,,SHANTIGEAR,,,,,,,,,,,,,,,,,,,
80,PAISALO,,SBCL,,,,,,,,,,,,,,,,,,,
81,PEL,,SIEMENS,,,,,,,,,,,,,,,,,,,
82,POONAWALLA,,SUPREMEIND,,,,,,,,,,,,,,,,,,,
83,PFC,,SURYAROSNI,,,,,,,,,,,,,,,,,,,
84,PRUDENT,,SUZLON,,,,,,,,,,,,,,,,,,,
85,PNB,,SYRMA,,,,,,,,,,,,,,,,,,,
86,RBLBANK,,TDPOWERSYS,,,,,,,,,,,,,,,,,,,
87,RECLTD,,TIIL,,,,,,,,,,,,,,,,,,,
88,RELIGARE,,TEGA,,,,,,,,,,,,,,,,,,,
89,SBFC,,THERMAX,,,,,,,,,,,,,,,,,,,
90,SBICARD,,TIMETECHNO,,,,,,,,,,,,,,,,,,,
91,SBILIFE,,TIMKEN,,,,,,,,,,,,,,,,,,,
92,SHAREINDIA,,TINPLATE,,,,,,,,,,,,,,,,,,,
93,SHRIRAMFIN,,TITAGARH,,,,,,,,,,,,,,,,,,,
94,SOUTHBANK,,TRITURBINE,,,,,,,,,,,,,,,,,,,
95,SPANDANA,,UFLEX,,,,,,,,,,,,,,,,,,,
96,STARHEALTH,,UNIPARTS,,,,,,,,,,,,,,,,,,,
97,SBIN,,USHAMART,,,,,,,,,,,,,,,,,,,
98,SUNDARMFIN,,VSTTILLERS,,,,,,,,,,,,,,,,,,,
99,TMB,,VESUVIUS,,,,,,,,,,,,,,,,,,,
100,TATAINVEST,,VOLTAMP,,,,,,,,,,,,,,,,,,,
101,NIACL,,WELCORP,,,,,,,,,,,,,,,,,,,
102,UCOBANK,,ZENTEC,,,,,,,,,,,,,,,,,,,
103,UTIAMC,,,,,,,,,,,,,,,,,,,,,
104,UJJIVAN,,,,,,,,,,,,,,,,,,,,,
105,UJJIVANSFB,,,,,,,,,,,,,,,,,,,,,
106,UNIONBANK,,,,,,,,,,,,,,,,,,,,,
107,YESBANK,,,,,,,,,,,,,,,,,,,,,
